Codice,Nome breve,Descrizione completa
0,"Pressione olio motore anomala","Pressione olio motore anomala:  Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
1,"Temperatura motore troppo elevata","Temperatura motore troppo alta:   Evitare di utilizzare il veicolo prima dell'intervento del riparatore autorizzato Opel.  È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
3,"Anomalia impianto frenante","Anomalia impianto frenante:  Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
4,"Livello liquido freni insufficiente (FR)","Livello liquido freni insufficiente: Contattare un riparatore autorizzato Opel. (FR)"
5,"Anomalia servosterzo","Anomalia servosterzo:  Contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
6,"Livello liquido di raffreddamento insufficiente","Livello liquido di raffreddamento insufficiente:   Rabboccare il serbatoio o contattare un riparatore autorizzato Opel. È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
7,"Anomalia assistenza cambio corsia (FR)","Anomalia al sistema di assistenza al cambio di corsia: Contattare un riparatore autorizzato Opel. (FR)"
8,"Livello olio motore insufficiente","Livello dell'olio motore da controllare.  Rabboccare o contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
10,"Porta anteriore sinistra aperta",""
11,"Porta anteriore destra aperta (FR)",""
12,"Porta posteriore sinistra aperta (FR)",""
13,"Motore",""
14,"Tappo serbatoio carburante non bloccato (FR)",""
15,"Cofano aperto (FR)",""
16,"Lunotto posteriore aperto (FR)",""
17,"Anomalia ESP / ASR","Anomalia al sistema ESP/ASR:   Guidare con prudenza.  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
18,"Anomalia batteria","Livello di carica della batteria insufficiente o problema alimentazione elettrica:  Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
20,"Anomalia del filtro gasolio","Presenza di acqua nel filtro gasolio:   Contattare un riparatore autorizzato Opel.   È anche possibile telefonare al servizio Opel Assistance o premere il pulsante Assistenza del proprio veicolo."
